path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\xlsx\00013050.xlsx,.xlsx,true,false,3813,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00013066.xlsx,.xlsx,true,false,1807650,0,,,515,0,0,
testdata\web-samples\samples\xlsx\00013097.xlsx,.xlsx,true,false,2435,0,,,11,0,0,
testdata\web-samples\samples\xlsx\00013126.xlsx,.xlsx,true,false,6132,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00013128.xlsx,.xlsx,true,false,13311,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00013175.xlsx,.xlsx,true,false,47928,1,,,103,0,0,
testdata\web-samples\samples\xlsx\00013211.xlsx,.xlsx,true,false,2243300,0,,,302,0,0,
testdata\web-samples\samples\xlsx\00013234.xlsx,.xlsx,true,false,25302,0,,,17,0,0,
testdata\web-samples\samples\xlsx\00013248.xlsx,.xlsx,true,false,24925,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1017,0,0,
testdata\web-samples\samples\xlsx\00013262.xlsx,.xlsx,true,false,331003,0,,,44,0,0,
testdata\web-samples\samples\xlsx\00013264.xlsx,.xlsx,true,false,22938,0,,,15,0,0,
testdata\web-samples\samples\xlsx\00013265.xlsx,.xlsx,true,false,29329,0,,,12,0,0,
testdata\web-samples\samples\xlsx\00013280.xlsx,.xlsx,true,false,2273,3,,,17,0,0,
testdata\web-samples\samples\xlsx\00013289.xlsx,.xlsx,true,false,937,0,,,6,0,0,
testdata\web-samples\samples\xlsx\00013326.xlsx,.xlsx,true,false,879,0,,,1,0,0,
testdata\web-samples\samples\xlsx\00013357.xlsx,.xlsx,true,false,489,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00013361.xlsx,.xlsx,true,false,55057,0,,,9,0,0,
testdata\web-samples\samples\xlsx\00013370.xlsx,.xlsx,true,false,1633,0,,,1,0,0,
testdata\web-samples\samples\xlsx\00013384.xlsx,.xlsx,true,false,980,0,,,1,0,0,
testdata\web-samples\samples\xlsx\00013398.xlsx,.xlsx,true,false,8724,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00013415.xlsx,.xlsx,true,false,201556,0,,,66,0,0,
testdata\web-samples\samples\xlsx\00013418.xlsx,.xlsx,true,false,13774,0,,,6,0,0,
testdata\web-samples\samples\xlsx\00013436.xlsx,.xlsx,true,false,5071,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00013444.xlsx,.xlsx,true,false,1138785,0,,,801,0,0,
testdata\web-samples\samples\xlsx\00013463.xlsx,.xlsx,true,false,13937,0,,,15,0,0,
testdata\web-samples\samples\xlsx\00013475.xlsx,.xlsx,true,false,3457,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00013524.xlsx,.xlsx,true,false,1562,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00013525.xlsx,.xlsx,true,false,3473,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00013546.xlsx,.xlsx,true,false,589,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00013559.xlsx,.xlsx,true,false,6266,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00013560.xlsx,.xlsx,true,false,15448,0,,,9,0,0,
testdata\web-samples\samples\xlsx\00013561.xlsx,.xlsx,true,false,138338,5,,,192,0,0,
testdata\web-samples\samples\xlsx\00013566.xlsx,.xlsx,true,false,2022,0,,,8,0,0,
testdata\web-samples\samples\xlsx\00013570.xlsx,.xlsx,true,false,27895,0,,,11,0,0,
testdata\web-samples\samples\xlsx\00013571.xlsx,.xlsx,true,false,140805,5,,,170,0,0,
testdata\web-samples\samples\xlsx\00013572.xlsx,.xlsx,true,false,9752,0,,,14,0,0,
testdata\web-samples\samples\xlsx\00013581.xlsx,.xlsx,true,false,51292,0,,,26,0,0,
testdata\web-samples\samples\xlsx\00013586.xlsx,.xlsx,true,false,10502,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00013610.xlsx,.xlsx,true,false,668,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00013621.xlsx,.xlsx,true,false,765,0,,,1,0,0,
testdata\web-samples\samples\xlsx\00013626.xlsx,.xlsx,true,false,552,0,,,0,0,0,
testdata\web-samples\samples\xlsx\00013627.xlsx,.xlsx,true,false,853,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00013637.xlsx,.xlsx,true,false,7544,2,,,17,0,0,
testdata\web-samples\samples\xlsx\00013638.xlsx,.xlsx,true,false,11888,2,,,20,0,0,
testdata\web-samples\samples\xlsx\00013654.xlsx,.xlsx,true,false,679,0,,,1,0,0,
testdata\web-samples\samples\xlsx\00013657.xlsx,.xlsx,true,false,11968,1,,,15,0,0,
testdata\web-samples\samples\xlsx\00013663.xlsx,.xlsx,true,false,617,0,,,1,0,0,
testdata\web-samples\samples\xlsx\00013680.xlsx,.xlsx,true,false,67011,0,,,27,0,0,
testdata\web-samples\samples\xlsx\00013687.xlsx,.xlsx,true,false,50634,0,,,40,0,0,
testdata\web-samples\samples\xlsx\00013691.xlsx,.xlsx,true,false,32527,0,,,464,0,0,
testdata\web-samples\samples\xlsx\00013698.xlsx,.xlsx,true,false,981,0,,,23,0,0,
testdata\web-samples\samples\xlsx\00013707.xlsx,.xlsx,true,false,244605,0,,,81,0,0,
testdata\web-samples\samples\xlsx\00013730.xlsx,.xlsx,true,false,3419,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00013731.xlsx,.xlsx,true,false,7385,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00013732.xlsx,.xlsx,true,false,1168,0,,,1,0,0,
testdata\web-samples\samples\xlsx\00013733.xlsx,.xlsx,true,false,996,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00013773.xlsx,.xlsx,true,false,9310,0,,,12,0,0,
testdata\web-samples\samples\xlsx\00013782.xlsx,.xlsx,true,false,5539,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00013826.xlsx,.xlsx,true,false,2162,1,,,13,0,0,
testdata\web-samples\samples\xlsx\00013828.xlsx,.xlsx,true,false,4887,1,,,4,0,0,
testdata\web-samples\samples\xlsx\00013831.xlsx,.xlsx,true,false,15093,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00013847.xlsx,.xlsx,true,false,29653,0,,,12,0,0,
testdata\web-samples\samples\xlsx\00013872.xlsx,.xlsx,true,false,56055,0,,,42,0,0,
testdata\web-samples\samples\xlsx\00013874.xlsx,.xlsx,true,false,1245980,0,,,433,0,0,
testdata\web-samples\samples\xlsx\00013890.xlsx,.xlsx,true,false,20834,0,,,15,0,0,
testdata\web-samples\samples\xlsx\00013899.xlsx,.xlsx,true,false,2591,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00013901.xlsx,.xlsx,true,false,310015,0,,,427,0,0,
testdata\web-samples\samples\xlsx\00013902.xlsx,.xlsx,true,false,163113,0,,,106,0,0,
testdata\web-samples\samples\xlsx\00013914.xlsx,.xlsx,true,false,8312,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00013917.xlsx,.xlsx,true,false,172422,0,,,41,0,0,
testdata\web-samples\samples\xlsx\00013920.xlsx,.xlsx,true,false,11077,1,,,12,0,0,
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,607,0,0,
testdata\web-samples\samples\xlsx\00014055.xlsx,.xlsx,true,false,5424,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00014065.xlsx,.xlsx,true,false,6286,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00014117.xlsx,.xlsx,true,false,243123,0,,,49,0,0,
testdata\web-samples\samples\xlsx\00014123.xlsx,.xlsx,true,false,7675,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00014134.xlsx,.xlsx,true,false,6775,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00014142.xlsx,.xlsx,true,false,11063,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00014147.xlsx,.xlsx,true,false,1410,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00014148.xlsx,.xlsx,true,false,138630,0,,,57,0,0,
testdata\web-samples\samples\xlsx\00014216.xlsx,.xlsx,true,false,359694,0,,,121,0,0,
testdata\web-samples\samples\xlsx\00014233.xlsx,.xlsx,true,false,18159,0,,,11,0,0,
testdata\web-samples\samples\xlsx\00014235.xlsx,.xlsx,true,false,13810,0,,,9,0,0,
testdata\web-samples\samples\xlsx\00014239.xlsx,.xlsx,true,false,94066,0,,,129,0,0,
testdata\web-samples\samples\xlsx\00014249.xlsx,.xlsx,true,false,1398874,0,,,292,0,0,
testdata\web-samples\samples\xlsx\00014251.xlsx,.xlsx,true,false,2951,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00014258.xlsx,.xlsx,true,false,171273,0,,,89,0,0,
testdata\web-samples\samples\xlsx\00014284.xlsx,.xlsx,true,false,848620,0,,,367,0,0,
