path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\doc\000675-2.doc,.doc,true,false,29793,0,,,101,0,0,
testdata\web-samples\samples\doc\000675.doc,.doc,true,false,29793,0,,,95,0,0,
testdata\web-samples\samples\doc\000677-2.doc,.doc,true,false,217987,3,,,2833,0,0,
testdata\web-samples\samples\doc\000677.doc,.doc,true,false,217987,3,,,2832,0,0,
testdata\web-samples\samples\doc\000678-2.doc,.doc,true,false,10080,0,,,30,0,0,
testdata\web-samples\samples\doc\000678.doc,.doc,true,false,10080,0,,,28,0,0,
testdata\web-samples\samples\doc\000686-2.doc,.doc,true,false,7182,0,,,27,0,0,
testdata\web-samples\samples\doc\000686.doc,.doc,true,false,7182,0,,,33,0,0,
testdata\web-samples\samples\doc\000687-2.doc,.doc,true,false,13082,1,,,39,0,0,
testdata\web-samples\samples\doc\000687.doc,.doc,true,false,13082,1,,,39,0,0,
testdata\web-samples\samples\doc\000691-2.doc,.doc,true,false,3242,0,,,15,0,0,
testdata\web-samples\samples\doc\000691.doc,.doc,true,false,3242,0,,,17,0,0,
testdata\web-samples\samples\doc\000693-2.doc,.doc,true,false,3627,0,,,22,0,0,
testdata\web-samples\samples\doc\000693.doc,.doc,true,false,3627,0,,,22,0,0,
testdata\web-samples\samples\doc\000695-2.doc,.doc,true,false,1841,0,,,16,0,0,
testdata\web-samples\samples\doc\000695.doc,.doc,true,false,1841,0,,,16,0,0,
testdata\web-samples\samples\doc\000696-2.doc,.doc,true,false,7597,2,,,40,0,0,
testdata\web-samples\samples\doc\000696.doc,.doc,true,false,7597,2,,,39,0,0,
testdata\web-samples\samples\doc\000701-2.doc,.doc,true,false,2479,0,,,6,0,0,
testdata\web-samples\samples\doc\000701.doc,.doc,true,false,2479,0,,,6,0,0,
testdata\web-samples\samples\doc\000705-2.doc,.doc,true,false,19952,3,,,60,0,0,
testdata\web-samples\samples\doc\000705.doc,.doc,true,false,19952,3,,,46,0,0,
