ext,status,name,size_or_detail,source
.docx,ok,00000375.docx,,msx-13
.docx,error,00000393.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000394.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,bad-sha1,00000383.docx,,msx-13
.docx,error,00000369.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000398.docx,,msx-13
.docx,error,00000401.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000405.docx,<urlopen error [Errno 11002] getaddrinfo failed>,msx-13
.docx,bad-sha1,00000404.docx,,msx-13
.docx,ok,00000396.docx,,msx-13
.docx,ok,00000389.docx,,msx-13
.docx,error,00000391.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000397.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000402.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000403.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000388.docx,HTTP Error 404: Not Found,msx-13
.docx,ok,00000400.docx,,msx-13
.docx,error,00000410.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000409.docx,,msx-13
.docx,error,00000414.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000395.docx,HTTP Error 404: Not Found,msx-13
.docx,ok,00000415.docx,,msx-13
.docx,error,00000412.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000392.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000407.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000422.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000413.docx,,msx-13
.docx,ok,00000408.docx,,msx-13
.docx,error,00000426.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000378.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000418.docx,,msx-13
.docx,error,00000420.docx,HTTP Error 403: Forbidden,msx-13
.docx,ok,00000427.docx,,msx-13
.docx,error,00000411.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000416.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000423.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000419.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000421.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000417.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000424.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000435.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000436.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000425.docx,HTTP Error 403: Forbidden,msx-13
.docx,error,00000438.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000440.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000429.docx,Remote end closed connection without response,msx-13
.docx,error,00000433.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000443.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000335.docx,timed out,msx-13
.docx,error,00000342.docx,timed out,msx-13
.docx,error,00000428.docx,HTTP Error 404: Not Found,msx-13
